lr,dropout,batch_train,rnn_size,rnn_layers,bidirectional,score
0.007711857718378902,0.5732929579712395,64,128,1,False,0.21578947368421053
0.001078935511077023,0.14927709503004108,64,128,1,False,0.22631578947368422
0.00011548561505648885,0.10479433099875432,64,128,1,False,0.21710526315789475
0.0006891273335690245,0.2658372445740532,64,128,1,False,0.20657894736842106
0.004925963848747729,0.3044477518919074,64,128,1,False,0.1986842105263158
0.00036092054191897755,0.10789850275489508,64,128,1,False,0.20657894736842106
0.00035357676463632174,0.3768916167560744,64,128,1,False,0.19078947368421054
0.006381583717602047,0.5374194829607585,64,128,1,False,0.2118421052631579
0.00489604334378254,0.21252727818096798,64,128,1,False,0.21578947368421053
0.0003887872087352769,0.5259593506309681,64,128,1,False,0.18157894736842106
0.00022758832910848832,0.569484801126617,64,128,1,False,0.1986842105263158
0.00622675166371226,0.7604203091924049,64,128,2,False,0.19736842105263158
0.002024756807824296,0.7018899248159746,64,128,2,False,0.1986842105263158
0.0004765424559236234,0.4158498692141692,64,128,2,False,0.20394736842105263
0.00047002148074528613,0.7433042182792071,64,128,2,False,0.2
0.0002216989701329867,0.3642981080640424,64,128,2,False,0.19342105263157894
0.001320819127288276,0.38863345576291186,64,128,2,False,0.21052631578947367
0.0006382455401032853,0.3260861961443233,64,128,2,False,0.19210526315789472
0.00038578193401704293,0.16217432348461602,64,128,2,False,0.20657894736842106
0.00012088102906400742,0.16708370780872778,64,128,2,False,0.21052631578947367
0.00028915102792358556,0.14310419918716294,64,128,2,False,0.225
0.0022468598377829987,0.6939421065586069,64,128,2,False,0.19210526315789472
