lr,dropout,batch_train,rnn_size,rnn_layers,bidirectional,score
0.007032978610795781,0.7466562120334713,64,128,2,False,0.03296703296703297
0.008862284118457485,0.4208529499829686,64,128,1,False,0.02978723404255319
0.005418242650980679,0.6993410452961426,64,128,1,False,0.029021372328458944
0.0007252207390991011,0.14998896122559421,64,128,1,False,0.10011313770167636
0.0016555562313333582,0.6997236538244407,64,128,1,False,0.030357142857142853
0.004138268975916678,0.2654436616989714,64,128,1,False,0.03092324805339266
0.0005153431525784872,0.1959398799600151,64,128,2,False,0.18233296812810718
6.724096011713918e-05,0.7086907725340503,64,128,1,False,0.08329761016385835
0.0001689414567529855,0.39456150689279845,64,128,1,False,0.20346785882984547
0.005839470023810768,0.5576289867768104,64,128,2,False,0.029213483146067414
0.00018424229583102877,0.4262723995050196,64,128,1,False,0.1267881975999935
0.00831727932279698,0.17926709619843684,64,128,1,False,0.031298557158712534
0.0007780969074640902,0.6871679813385628,64,128,1,False,0.026484018264840183
0.002342904928747613,0.35698137543898767,64,128,2,False,0.029405162738496075
7.653515770771733e-05,0.23607729259865848,64,128,2,False,0.2444408368925846
